,open,close,high,low,volume,money
2013-08-05,2249.98,2278.33,2278.33,2243.22,5534215100.0,53623068581.0
2013-08-06,2270.67,2293.64,2302.48,2256.72,7374689500.0,68993574807.0
2013-08-07,2292.38,2280.62,2313.88,2276.86,7304869500.0,69560482114.0
2013-08-08,2277.25,2276.78,2297.63,2267.07,5309843000.0,52710276666.0
2013-08-09,2288.51,2286.01,2301.59,2258.33,6460001700.0,62663979060.0
2013-08-12,2296.22,2352.79,2352.89,2293.18,9786321600.0,94038910336.0
2013-08-13,2352.88,2359.07,2360.83,2340.73,7839363600.0,71178520240.0
2013-08-14,2362.62,2349.08,2386.6,2340.83,7594212800.0,71338219589.0
2013-08-15,2348.84,2321.58,2362.09,2319.78,6195185300.0,59411203587.0
2013-08-16,2314.26,2304.14,2423.08,2295.02,12036956300.0,104026773370.0
2013-08-19,2286.2,2331.43,2340.19,2284.08,7248322400.0,67064925390.0
2013-08-20,2325.86,2312.47,2353.41,2303.67,7308634500.0,67589707172.0
2013-08-21,2320.58,2308.59,2321.64,2291.05,5500738400.0,50886495497.0
2013-08-22,2302.67,2303.93,2329.14,2297.02,5533810400.0,51686310590.0
2013-08-23,2314.87,2286.93,2321.04,2251.92,6896713300.0,65459845296.0
2013-08-26,2294.76,2335.62,2336.38,2288.5,7037104300.0,66541009856.0
2013-08-27,2332.8,2340.88,2345.11,2322.46,6599033300.0,62575377643.0
2013-08-28,2326.1,2328.06,2345.36,2307.04,8925617400.0,80965562365.0
2013-08-29,2338.56,2318.31,2342.32,2308.14,6608541500.0,59719882399.0
2013-08-30,2315.91,2313.91,2334.41,2303.61,8765451500.0,76695994654.0
2013-09-02,2319.96,2320.34,2329.87,2297.45,7951024900.0,73575869316.0
2013-09-03,2326.23,2354.5,2354.86,2321.3,8055400500.0,72663978650.0
2013-09-04,2352.54,2350.7,2360.66,2345.44,7872576300.0,68509013842.0
2013-09-05,2350.93,2341.74,2351.22,2336.75,6295138300.0,59606065186.0
2013-09-06,2336.77,2357.78,2361.18,2335.93,7334011600.0,63916893626.0
2013-09-09,2374.26,2440.61,2449.25,2372.69,14988964000.0,127299546171.0
2013-09-10,2446.45,2474.89,2475.2,2435.83,15485599200.0,130648129418.0
2013-09-11,2483.79,2482.89,2504.47,2471.62,16691497400.0,142830288492.0
2013-09-12,2480.47,2507.45,2527.38,2469.72,14517317500.0,126115528291.0
2013-09-13,2502.54,2488.9,2515.78,2481.45,11077504900.0,98275004927.0
2013-09-16,2501.08,2478.39,2503.69,2467.13,10538328200.0,97043842349.0
2013-09-17,2480.81,2427.32,2481.71,2426.46,9945998200.0,93115107921.0
2013-09-18,2426.04,2432.51,2439.63,2407.24,7104075900.0,69341324599.0
2013-09-23,2441.52,2472.29,2473.16,2439.99,8012835200.0,80920687856.0
2013-09-24,2470.72,2443.89,2470.75,2420.09,9785301300.0,96769831421.0
2013-09-25,2440.84,2429.03,2455.04,2423.28,9051841800.0,89119216662.0
2013-09-26,2422.63,2384.44,2422.63,2382.53,8623677000.0,84183923178.0
2013-09-27,2382.22,2394.97,2402.2,2379.86,6597150800.0,66383990191.0
2013-09-30,2406.2,2409.04,2415.07,2397.22,5951399200.0,60990141884.0
2013-10-08,2406.41,2441.81,2446.7,2392.57,8478550600.0,84229908920.0
2013-10-09,2432.94,2453.58,2453.75,2424.77,7627764500.0,76128340887.0
2013-10-10,2455.64,2429.32,2455.98,2422.02,9032970600.0,89468020274.0
2013-10-11,2442.36,2468.51,2471.16,2439.63,9338826100.0,91811541654.0
2013-10-14,2472.27,2472.54,2483.13,2462.55,10008130100.0,99109155920.0
2013-10-15,2475.32,2467.52,2479.13,2449.42,8917349600.0,86100822006.0
2013-10-16,2459.08,2421.37,2459.08,2409.72,8897983400.0,83150844984.0
2013-10-17,2432.64,2413.33,2440.92,2407.78,7122247400.0,67722892391.0
2013-10-18,2415.12,2426.05,2435.71,2410.6,6029163000.0,59138754367.0
2013-10-21,2431.91,2471.32,2472.78,2423.56,8490979500.0,82223144817.0
2013-10-22,2470.26,2445.89,2470.26,2439.86,9070302900.0,83412053857.0
2013-10-23,2451.56,2418.49,2474.37,2412.48,9154535500.0,83286778556.0
2013-10-24,2412.24,2400.51,2422.94,2395.47,6456082100.0,60427235951.0
2013-10-25,2400.52,2368.56,2413.33,2353.99,7707018200.0,70778094834.0
2013-10-28,2372.57,2365.95,2377.25,2351.86,6287615200.0,56602098405.0
2013-10-29,2369.22,2372.05,2408.62,2327.9,10673783300.0,91741559592.0
2013-10-30,2371.85,2407.47,2407.85,2365.51,9217812600.0,75735067216.0
2013-10-31,2398.39,2373.72,2398.39,2370.23,8273696400.0,70393879838.0
2013-11-01,2373.96,2384.96,2395.01,2365.15,6305576200.0,57820026665.0
2013-11-04,2397.21,2380.45,2404.9,2376.36,5179846100.0,48959462043.0
2013-11-05,2366.88,2383.77,2385.69,2343.8,6208448800.0,56935549943.0
2013-11-06,2371.32,2353.57,2383.54,2352.79,6377666300.0,59536872794.0
2013-11-07,2351.87,2340.55,2356.67,2328.25,5482174700.0,50942569626.0
2013-11-08,2329.08,2307.95,2342.67,2306.04,5378850800.0,48564999878.0
2013-11-11,2305.94,2315.89,2325.23,2295.0,4573945700.0,42566548184.0
2013-11-12,2319.36,2340.0,2342.53,2316.6,5268754500.0,49854763423.0
2013-11-13,2325.36,2288.12,2325.56,2287.55,5984883100.0,53183050105.0
2013-11-14,2291.27,2304.5,2305.7,2279.01,5731035600.0,51945077793.0
2013-11-15,2306.55,2350.73,2377.21,2306.55,8639177100.0,83147858433.0
2013-11-18,2367.88,2428.9,2429.57,2361.04,11003463300.0,108549512988.0
2013-11-19,2427.93,2412.16,2427.93,2405.08,7864829600.0,79884936328.0
2013-11-20,2428.77,2424.85,2435.43,2406.42,7229180100.0,67741428196.0
2013-11-21,2412.45,2409.99,2415.38,2382.88,8770667700.0,82220527035.0
2013-11-22,2415.29,2397.96,2419.0,2393.58,7500067500.0,70052206585.0
2013-11-25,2385.78,2388.63,2418.85,2380.69,6614473400.0,63811265014.0
2013-11-26,2387.83,2387.42,2399.02,2380.41,5918586400.0,53334204356.0
2013-11-27,2386.36,2414.48,2422.81,2383.78,7529408800.0,70744775407.0
2013-11-28,2419.15,2439.53,2460.56,2417.24,9066040600.0,86852445384.0
2013-11-29,2442.68,2438.94,2446.39,2432.39,6180374600.0,61907374173.0
2013-12-02,2423.97,2418.79,2464.86,2397.01,11965512300.0,112921841120.0
2013-12-03,2410.69,2442.78,2448.33,2406.66,7445575200.0,72045234174.0
2013-12-04,2439.82,2475.14,2486.64,2434.69,10265023500.0,94783931336.0
2013-12-05,2476.45,2468.2,2481.75,2460.58,7770893200.0,72999931131.0
2013-12-06,2463.04,2452.29,2470.81,2445.62,6611408900.0,64843207895.0
2013-12-09,2460.03,2450.87,2468.95,2445.94,5716488400.0,57634539131.0
2013-12-10,2456.23,2453.32,2466.66,2444.53,6694142400.0,61236728790.0
2013-12-11,2440.5,2412.76,2440.5,2400.74,6807514400.0,62808851026.0
2013-12-12,2406.77,2410.01,2423.31,2402.77,5014771900.0,47481447335.0
2013-12-13,2388.66,2406.64,2416.26,2386.25,5150119600.0,47583527668.0
2013-12-16,2408.68,2367.92,2412.73,2367.43,6458167400.0,62107893611.0
2013-12-17,2369.26,2356.38,2373.29,2351.18,4848389100.0,46306075570.0
2013-12-18,2356.7,2357.23,2368.58,2350.45,4001520700.0,39675269794.0
2013-12-19,2366.2,2332.41,2370.99,2331.19,4809568000.0,45148866928.0
2013-12-20,2335.05,2278.14,2338.88,2278.1,6520420700.0,60862129503.0
2013-12-23,2283.8,2284.6,2295.76,2259.57,4558028500.0,44415342954.0
2013-12-24,2291.13,2288.25,2312.83,2270.24,4559916800.0,45173191422.0
2013-12-25,2291.75,2305.11,2305.61,2281.6,4400532600.0,41202984186.0
2013-12-26,2299.97,2265.33,2301.49,2263.92,5149756300.0,48603013700.0
2013-12-27,2268.53,2303.48,2315.18,2264.39,5338915700.0,51197946376.0
2013-12-30,2313.38,2299.46,2316.62,2295.64,4841430800.0,46156442661.0
2013-12-31,2289.01,2330.03,2333.07,2287.12,5663107000.0,57026486218.0
2014-01-02,2323.43,2321.98,2325.99,2310.65,4519429100.0,49012211124.0
2014-01-03,2311.97,2290.78,2314.84,2280.89,5978264500.0,57739709924.0
2014-01-06,2286.37,2238.64,2286.37,2229.33,6630040300.0,59979360128.0
2014-01-07,2222.31,2238.0,2246.79,2218.65,4375310300.0,42565648108.0
2014-01-08,2240.64,2241.91,2262.58,2228.42,5134885400.0,50691488898.0
2014-01-09,2236.97,2222.22,2258.89,2220.8,5598704100.0,54399491333.0
2014-01-10,2216.52,2204.85,2224.49,2200.22,5416929300.0,47572309533.0
2014-01-13,2207.0,2193.68,2222.07,2183.6,5012277200.0,46123003754.0
2014-01-14,2192.84,2212.85,2214.12,2179.91,5404994700.0,46785099888.0
2014-01-15,2210.02,2208.94,2215.9,2193.8,4896239500.0,45755914348.0
2014-01-16,2209.45,2211.84,2227.26,2201.56,5229890200.0,49842784005.0
2014-01-17,2203.82,2178.49,2205.97,2175.88,5027315500.0,46268159163.0
2014-01-20,2173.65,2165.99,2182.46,2156.46,4056015400.0,39157227541.0
2014-01-21,2168.42,2187.41,2197.92,2168.42,4030624700.0,38590992772.0
2014-01-22,2190.43,2243.8,2244.13,2187.53,7064137500.0,64803357078.0
2014-01-23,2242.24,2231.89,2248.92,2228.06,5634595100.0,55726417393.0
2014-01-24,2225.76,2245.68,2257.36,2222.89,6116767000.0,59563444873.0
2014-01-27,2233.01,2215.92,2233.23,2211.8,7034424600.0,63503992484.0
2014-01-28,2220.78,2219.86,2233.26,2205.97,5326913000.0,49408754555.0
2014-01-29,2225.71,2227.78,2233.06,2219.93,5022271700.0,48788682770.0
2014-01-30,2223.16,2202.45,2223.16,2200.22,4363230400.0,43475960839.0
2014-02-07,2187.34,2212.48,2212.5,2177.12,5045931500.0,49597106433.0
2014-02-10,2221.54,2267.53,2270.19,2221.54,8306571600.0,81103244127.0
2014-02-11,2267.74,2285.56,2296.52,2262.6,9922982900.0,92688969126.0
2014-02-12,2286.19,2291.25,2294.32,2276.44,7659216100.0,73487379679.0
2014-02-13,2288.45,2279.55,2307.47,2278.26,9621778900.0,87352124305.0
2014-02-14,2278.4,2295.57,2295.85,2274.43,6708299700.0,64613327719.0
2014-02-17,2308.79,2311.65,2315.58,2293.55,8783166600.0,86871352624.0
2014-02-18,2310.31,2282.44,2310.31,2276.11,8704974300.0,88107267954.0
2014-02-19,2280.93,2308.66,2317.42,2274.15,9935256100.0,88341900374.0
2014-02-20,2314.09,2287.44,2331.7,2286.2,10643953300.0,91771595713.0
2014-02-21,2284.03,2264.29,2287.87,2250.65,7636899300.0,69908188663.0
2014-02-24,2246.72,2214.51,2246.72,2194.16,8921593900.0,79599146389.0
2014-02-25,2216.51,2157.91,2225.21,2150.09,9323755100.0,88306571728.0
2014-02-26,2147.74,2163.41,2164.7,2137.08,7799329700.0,68640581126.0
2014-02-27,2170.81,2154.11,2180.06,2150.14,9010429600.0,81587999653.0
